# minimum-size (304) degree-3 F_2 certificate of Tucker on S^2: one violating partial labeling per line, as (free index, label) pairs
0:-2 1:-2
5:2 6:1 8:-1
6:-2 8:1 9:2
6:-2 8:2 9:1
6:-1 8:1 9:2
6:-1 8:2 9:1
6:1 8:-2 9:2
6:1 8:-1 9:2
6:1 8:2 9:-2
6:1 8:2 9:-1
6:2 8:-2 9:1
6:2 8:-1 9:1
6:2 8:1 9:-2
6:2 8:1 9:-1
7:-2 8:1 10:2
7:-2 8:2 10:1
7:-1 8:1 10:2
7:-1 8:2 10:1
7:1 8:-2 10:2
7:1 8:-1 10:2
7:1 8:2 10:-2
7:1 8:2 10:-1
7:2 8:-2 10:1
7:2 8:-1 10:1
7:2 8:1 10:-2
7:2 8:1 10:-1
8:-2 9:1 12:2
8:-2 9:2 12:1
8:-2 10:1 11:2
8:-2 10:2 11:1
8:-2 11:1 12:2
8:-2 11:2 12:1
8:-1 9:1 12:2
8:-1 9:2 12:1
8:-1 10:1 11:2
8:-1 10:2 11:1
8:-1 11:1 12:2
8:-1 11:2 12:1
8:1 9:-2 12:2
8:1 9:-1 12:2
8:1 9:2 12:-2
8:1 9:2 12:-1
8:1 10:-2 11:2
8:1 10:-1 11:2
8:1 10:2 11:-2
8:1 10:2 11:-1
8:1 11:-2 12:2
8:1 11:-1 12:2
8:1 11:2 12:-2
8:1 11:2 12:-1
8:2 9:-2 12:1
8:2 9:-1 12:1
8:2 9:1 12:-2
8:2 9:1 12:-1
8:2 10:-2 11:1
8:2 10:-1 11:1
8:2 10:1 11:-2
8:2 10:1 11:-1
8:2 11:-2 12:1
8:2 11:-1 12:1
8:2 11:1 12:-2
8:2 11:1 12:-1
